Year,Country,Metier,Area,Species,Discard_ID,DR,Landings,Match
2009,IE,GNS_DEF,27.7.g,MEG,2009_IE_MEG_27.7.g_GNS_DEF,NA,3.65928,AC_Missmatches
2009,IE,GNS_DEF,27.7.g,MON,2009_IE_MON_27.7.g_GNS_DEF,NA,29.4762,AC_Missmatches
2009,IE,GNS_DEF,27.7.j,COD,2009_IE_COD_27.7.j_GNS_DEF,NA,7.78,AC_Missmatches
2009,IE,GNS_DEF,27.7.j,HAD,2009_IE_HAD_27.7.j_GNS_DEF,NA,17.9,AC_Missmatches
2009,IE,GNS_DEF,27.7.j,MEG,2009_IE_MEG_27.7.j_GNS_DEF,NA,1.422,AC_Missmatches
2009,IE,GNS_DEF,27.7.j,MON,2009_IE_MON_27.7.j_GNS_DEF,NA,6.2556,AC_Missmatches
2009,IE,GNS_DEF,27.7.j,WHG,2009_IE_WHG_27.7.j_GNS_DEF,NA,6.86,AC_Missmatches
2009,IE,GNS_DEF,27.7.k,HAD,2009_IE_HAD_27.7.k_GNS_DEF,NA,0.22,AC_Missmatches
2009,IE,GNS_DEF,27.7.k,MEG,2009_IE_MEG_27.7.k_GNS_DEF,NA,0.01896,AC_Missmatches
2009,IE,GNS_DEF,27.7.k,WHG,2009_IE_WHG_27.7.k_GNS_DEF,NA,0.16,AC_Missmatches
2009,IE,LLS_FIF,27.7.g,MON,2009_IE_MON_27.7.g_LLS_FIF,NA,0.0078,AC_Missmatches
2009,IE,LLS_FIF,27.7.j,MEG,2009_IE_MEG_27.7.j_LLS_FIF,NA,0.06636,AC_Missmatches
2009,IE,OTB_CRU,27.7.b,COD,2009_IE_COD_27.7.b_OTB_CRU,NA,1.27,AC_Missmatches
2009,IE,OTB_CRU,27.7.b,MEG,2009_IE_MEG_27.7.b_OTB_CRU,NA,46.46148,AC_Missmatches
2009,IE,OTB_CRU,27.7.b,MON,2009_IE_MON_27.7.b_OTB_CRU,NA,25.077,AC_Missmatches
2009,IE,OTB_CRU,27.7.b,NEP.FU.17,2009_IE_NEP.FU.17_27.7.b_OTB_CRU,NA,547.04,AC_Missmatches
2009,IE,OTB_CRU,27.7.c,COD,2009_IE_COD_27.7.c_OTB_CRU,NA,0.01,AC_Missmatches
2009,IE,OTB_CRU,27.7.c,HAD,2009_IE_HAD_27.7.c_OTB_CRU,NA,0.42,AC_Missmatches
2009,IE,OTB_CRU,27.7.c,MEG,2009_IE_MEG_27.7.c_OTB_CRU,NA,0.95748,AC_Missmatches
2009,IE,OTB_CRU,27.7.c,MON,2009_IE_MON_27.7.c_OTB_CRU,NA,19.4688,AC_Missmatches
2009,IE,OTB_CRU,27.7.g,MEG,2009_IE_MEG_27.7.g_OTB_CRU,NA,157.33956,AC_Missmatches
2009,IE,OTB_CRU,27.7.g,MON,2009_IE_MON_27.7.g_OTB_CRU,NA,229.632,AC_Missmatches
2009,IE,OTB_CRU,27.7.h,COD,2009_IE_COD_27.7.h_OTB_CRU,NA,5.35,AC_Missmatches
2009,IE,OTB_CRU,27.7.h,HAD,2009_IE_HAD_27.7.h_OTB_CRU,NA,1.92,AC_Missmatches
2009,IE,OTB_CRU,27.7.h,MEG,2009_IE_MEG_27.7.h_OTB_CRU,NA,4.70208,AC_Missmatches
2009,IE,OTB_CRU,27.7.h,MON,2009_IE_MON_27.7.h_OTB_CRU,NA,15.8886,AC_Missmatches
2009,IE,OTB_CRU,27.7.j,MEG,2009_IE_MEG_27.7.j_OTB_CRU,NA,10.24788,AC_Missmatches
2009,IE,OTB_CRU,27.7.j,MON,2009_IE_MON_27.7.j_OTB_CRU,NA,7.5816,AC_Missmatches
2009,IE,OTB_CRU,27.7.k,COD,2009_IE_COD_27.7.k_OTB_CRU,NA,0.09,AC_Missmatches
2009,IE,OTB_CRU,27.7.k,HAD,2009_IE_HAD_27.7.k_OTB_CRU,NA,0.04,AC_Missmatches
2009,IE,OTB_CRU,27.7.k,MEG,2009_IE_MEG_27.7.k_OTB_CRU,NA,2.48376,AC_Missmatches
2009,IE,OTB_CRU,27.7.k,MON,2009_IE_MON_27.7.k_OTB_CRU,NA,39.6708,AC_Missmatches
2009,IE,OTB_DEF,27.7.b,COD,2009_IE_COD_27.7.b_OTB_DEF,NA,21.59,AC_Missmatches
2009,IE,OTB_DEF,27.7.b,MEG,2009_IE_MEG_27.7.b_OTB_DEF,NA,140.51256,AC_Missmatches
2009,IE,OTB_DEF,27.7.b,MON,2009_IE_MON_27.7.b_OTB_DEF,NA,257.1816,AC_Missmatches
2009,IE,OTB_DEF,27.7.b,NEP.FU.17,2009_IE_NEP.FU.17_27.7.b_OTB_DEF,NA,76.23,AC_Missmatches
2009,IE,OTB_DEF,27.7.c,COD,2009_IE_COD_27.7.c_OTB_DEF,NA,1.26,AC_Missmatches
2009,IE,OTB_DEF,27.7.c,HAD,2009_IE_HAD_27.7.c_OTB_DEF,NA,14.84,AC_Missmatches
2009,IE,OTB_DEF,27.7.c,MEG,2009_IE_MEG_27.7.c_OTB_DEF,NA,28.1082,AC_Missmatches
2009,IE,OTB_DEF,27.7.c,MON,2009_IE_MON_27.7.c_OTB_DEF,NA,111.6336,AC_Missmatches
2009,IE,OTB_DEF,27.7.c,WHG,2009_IE_WHG_27.7.c_OTB_DEF,NA,0.83,AC_Missmatches
2009,IE,OTB_DEF,27.7.f,COD,2009_IE_COD_27.7.f_OTB_DEF,NA,0.58,AC_Missmatches
2009,IE,OTB_DEF,27.7.f,HAD,2009_IE_HAD_27.7.f_OTB_DEF,NA,7.58,AC_Missmatches
2009,IE,OTB_DEF,27.7.f,MON,2009_IE_MON_27.7.f_OTB_DEF,NA,0.1248,AC_Missmatches
2009,IE,OTB_DEF,27.7.f,WHG,2009_IE_WHG_27.7.f_OTB_DEF,NA,9.24,AC_Missmatches
2009,IE,OTB_DEF,27.7.g,MEG,2009_IE_MEG_27.7.g_OTB_DEF,NA,396.85176,AC_Missmatches
2009,IE,OTB_DEF,27.7.g,MON,2009_IE_MON_27.7.g_OTB_DEF,NA,358.5036,AC_Missmatches
2009,IE,OTB_DEF,27.7.h,COD,2009_IE_COD_27.7.h_OTB_DEF,NA,3.23,AC_Missmatches
2009,IE,OTB_DEF,27.7.h,HAD,2009_IE_HAD_27.7.h_OTB_DEF,NA,2.3,AC_Missmatches
2009,IE,OTB_DEF,27.7.h,MEG,2009_IE_MEG_27.7.h_OTB_DEF,NA,4.58832,AC_Missmatches
2009,IE,OTB_DEF,27.7.h,MON,2009_IE_MON_27.7.h_OTB_DEF,NA,4.758,AC_Missmatches
2009,IE,OTB_DEF,27.7.j,MEG,2009_IE_MEG_27.7.j_OTB_DEF,NA,547.46052,AC_Missmatches
2009,IE,OTB_DEF,27.7.j,MON,2009_IE_MON_27.7.j_OTB_DEF,NA,791.4894,AC_Missmatches
2009,IE,OTB_DEF,27.7.k,COD,2009_IE_COD_27.7.k_OTB_DEF,NA,0.07,AC_Missmatches
2009,IE,OTB_DEF,27.7.k,HAD,2009_IE_HAD_27.7.k_OTB_DEF,NA,2.2,AC_Missmatches
2009,IE,OTB_DEF,27.7.k,MEG,2009_IE_MEG_27.7.k_OTB_DEF,NA,5.39412,AC_Missmatches
