"","scenario","fleet","stock","catch","tacshare","effort","catch_ssa","tac_ssa","effort_ssa","limitation"
"117","fixedEffort","UKE_Beam_10<24m","cod.27.7e-k",7.39351492430263,0.00512204874028704,8836.9888,0,0,0,"choke"
"118","fixedEffort","UKE_Beam_10<24m","meg.27.7b-k8abd",145.263617393182,0.00687634610112265,8836.9888,19184,131.915823603937,8024.98710035208,"intermediate"
"119","fixedEffort","UKE_Beam_10<24m","mon.27.78abd",591.977678604304,0.0167413390650488,8836.9888,34579,578.898763530323,8641.74794852495,"intermediate"
"120","fixedEffort","UKE_Beam_10<24m","sol.27.7fg",150.17141496373,0.100240038229972,8836.9888,1413,141.63917401895,8334.90045192038,"intermediate"
"121","fixedEffort","UKE_Beam_10<24m","whg.27.7b-ce-k",92.8488292727097,0.00292702319976084,8836.9888,5261,15.3990690539418,1465.62322676596,"intermediate"
"122","fixedEffort","UKE_Beam_10<24m","had.27.7b-k",139.490877277553,0.00325869667584257,8836.9888,18382,59.9013622953381,3794.85510479206,"intermediate"
"123","fixedEffort","UKE_Beam_10<24m","nep.out.7",0.00926375406237021,0.0000423882172191092,8836.9888,150,0.00635823258286638,6065.31971210483,"intermediate"
"124","fixedEffort","UKE_Beam_10<24m","nep.fu.2021",0.00970255378702124,0.0000120884114125585,8836.9888,1710,0.020671183515475,18827.1068853388,"least"
"125","fixedEffort","UKE_Beam_24<40m","cod.27.7e-k",18.024910956052,0.0113494455574104,26404.3568333333,0,0,0,"choke"
"126","fixedEffort","UKE_Beam_24<40m","meg.27.7b-k8abd",685.040623842272,0.0325600041071864,26404.3568333333,19184,624.631118792264,24075.9195524623,"intermediate"
"127","fixedEffort","UKE_Beam_24<40m","mon.27.78abd",1250.12901910221,0.0368696786526986,26404.3568333333,34579,1274.91661813166,26927.9032831912,"intermediate"
"128","fixedEffort","UKE_Beam_24<40m","sol.27.7fg",88.6051326164447,0.0569941577781497,26404.3568333333,1413,80.5327449405255,23998.7828174956,"intermediate"
"129","fixedEffort","UKE_Beam_24<40m","whg.27.7b-ce-k",96.1103353120658,0.00319741682492485,26404.3568333333,5261,16.8216099159296,4621.39466363492,"intermediate"
